Date,ID,Item
2014-01-01,1249in804,citrus fruit
2014-01-01,1249in804,coffee
2014-01-01,1381ht273,curd
2014-01-01,1381ht273,soda
2014-01-01,1440kn258,other vegetables
2014-01-01,1440kn258,yogurt
2014-01-01,1659mp379,specialty chocolate
2014-01-01,1659mp379,frozen vegetables
2014-01-01,1789tk973,hamburger meat
2014-01-01,1789tk973,candles
2014-01-01,1922rg369,tropical fruit
2014-01-01,1922rg369,other vegetables
2014-01-01,2226mu265,sausage
2014-01-01,2226mu265,bottled water
2014-01-01,2237wy622,bottled water
2014-01-01,2237wy622,Instant food products
2014-01-01,2351uq251,cleaner
2014-01-01,2351uq251,shopping bags
2014-01-01,2542fp774,sliced cheese
2014-01-01,2542fp774,bottled water
2014-01-01,2610lx731,hamburger meat
2014-01-01,2610lx731,bottled beer
2014-01-01,2610lx731,domestic eggs
2014-01-01,2709vu970,yogurt
2014-01-01,2709vu970,frozen vegetables
2014-01-01,2727hq497,hamburger meat
2014-01-01,2727hq497,frozen potato products
2014-01-01,2943kl462,whole milk
2014-01-01,2943kl462,flower (seeds)
2014-01-01,2974pv571,berries
2014-01-01,2974pv571,whipped/sour cream
2014-01-01,2974pv571,bottled water
2014-01-01,3681kt621,onions
2014-01-01,3681kt621,whipped/sour cream
2014-01-01,3681kt621,dishes
2014-01-01,3797pl275,waffles
2014-01-01,3797pl275,whole milk
2014-01-01,3942kh702,other vegetables
2014-01-01,3942kh702,yogurt
2014-01-01,3942kh702,Instant food products
2014-01-01,3956zu340,yogurt
2014-01-01,3956zu340,shopping bags
2014-01-01,3956zu340,waffles
2014-01-01,3956zu340,chocolate
2014-01-01,4260cv042,soda
2014-01-01,4260cv042,brown bread
2014-01-01,4942zp532,butter
2014-01-01,4942zp532,frozen vegetables
2014-01-02,1175kz725,hamburger meat
2014-01-02,1175kz725,other vegetables
2014-01-02,1809yw906,root vegetables
2014-01-02,1809yw906,hard cheese
2014-01-02,1809yw906,waffles
2014-01-02,1878wr902,root vegetables
2014-01-02,1878wr902,dessert
2014-01-02,1965ls493,chewing gum
2014-01-02,1965ls493,yogurt
2014-01-02,2202nw950,coffee
2014-01-02,2202nw950,sauces
2014-01-02,2475aq959,roll products
2014-01-02,2475aq959,dishes
2014-01-02,2690ie066,rolls/buns
2014-01-02,2690ie066,grapes
2014-01-02,2717re606,fruit/vegetable juice
2014-01-02,2717re606,fruit/vegetable juice
2014-01-02,2755bv342,beef
2014-01-02,2755bv342,fruit/vegetable juice
2014-01-02,2755bv342,whole milk
2014-01-02,3107bw714,rolls/buns
2014-01-02,3107bw714,whole milk
2014-01-02,3120pl116,beef
2014-01-02,3120pl116,whole milk
2014-01-02,3120pl116,newspapers
2014-01-02,3156ys329,whipped/sour cream
2014-01-02,3156ys329,soda
2014-01-02,3220mv775,canned beer
2014-01-02,3220mv775,salty snack
2014-01-02,3243mr907,whole milk
2014-01-02,3243mr907,pot plants
2014-01-02,3663hu376,rolls/buns
2014-01-02,3663hu376,frozen vegetables
2014-01-02,3663hu376,roll products
2014-01-02,3758qc583,rolls/buns
2014-01-02,3758qc583,domestic eggs
2014-01-02,3758qc583,rolls/buns
2014-01-02,3805ag580,semi-finished bread
2014-01-02,3805ag580,white bread
2014-01-02,4140su706,curd
2014-01-02,4140su706,newspapers
2014-01-02,4247uk670,soda
2014-01-02,4247uk670,butter
2014-01-02,4255eh261,frankfurter
2014-01-02,4255eh261,margarine
2014-01-02,4316tj114,tropical fruit
2014-01-02,4316tj114,candy
2014-01-02,4527ct286,brown bread
2014-01-02,4527ct286,curd
2014-01-02,4548no280,UHT-milk
2014-01-02,4548no280,other vegetables
2014-01-02,4746kd006,margarine
2014-01-02,4746kd006,newspapers
2014-01-02,4887qt246,long life bakery product
2014-01-02,4887qt246,soap
2014-01-03,1241gw095,oil
2014-01-03,1241gw095,margarine
2014-01-03,1335ow243,waffles
2014-01-03,1335ow243,dishes
2014-01-03,1335ow243,domestic eggs
2014-01-03,1335ow243,oil
2014-01-03,1339gy329,other vegetables
2014-01-03,1339gy329,margarine
2014-01-03,1362ox399,tropical fruit
2014-01-03,1362ox399,mustard
2014-01-03,1483qa284,pastry
2014-01-03,1483qa284,dessert
2014-01-03,1658dh071,citrus fruit
2014-01-03,1658dh071,flour
2014-01-03,1764da944,honey
2014-01-03,1764da944,salty snack
2014-01-03,1864oc606,oil
2014-01-03,1864oc606,butter
2014-01-03,2085wp886,soda
2014-01-03,2085wp886,domestic eggs
2014-01-03,2279er738,long life bakery product
2014-01-03,2279er738,curd
2014-01-03,2279er738,pot plants
2014-01-03,2279er738,soda
2014-01-03,2514kh995,soda
2014-01-03,2514kh995,whole milk
2014-01-03,2595gr665,rolls/buns
2014-01-03,2595gr665,chewing gum
2014-01-03,2602cz716,frankfurter
2014-01-03,2602cz716,whole milk
2014-01-03,2935er046,rolls/buns
2014-01-03,2935er046,processed cheese
2014-01-03,3517td291,curd
2014-01-03,3517td291,brown bread
2014-01-03,3737jm860,instant coffee
2014-01-03,3737jm860,shopping bags
2014-01-03,3746zw416,meat spreads
2014-01-03,3746zw416,butter
2014-01-03,4146id124,dessert
2014-01-03,4146id124,root vegetables
2014-01-03,4625gv873,white bread
2014-01-03,4625gv873,whipped/sour cream
2014-01-03,4664hk127,beef
2014-01-03,4664hk127,rolls/buns
2014-01-03,4822xc402,ice cream
2014-01-03,4822xc402,yogurt
