ID,is_attrited,Age,Gender,Dependent_cnt,Edu_level,Marital_status,Income,Card,Period_m,Total_rel_cnt,Inactive_last_12m,Contacts_cnt_last_12m,Credit_limit,Total_trans_amt,Total_trans_cnt
1,0,41,F,2,High School,Married,Less than $40K,Blue,36,6,2,2,4953,4183,67
2,0,38,M,0,High School,Single,$80K - $120K,Blue,29,3,3,2,5983,4141,65
3,0,57,F,2,Uneducated,Single,$40K - $60K,Silver,36,6,3,0,19482,1421,22
4,0,57,F,2,Doctorate,Single,Less than $40K,Blue,44,2,2,3,9149,14401,100
5,0,63,F,1,Uneducated,Single,Unknown,Blue,55,4,3,1,16312,4366,68
6,1,44,F,3,Unknown,Single,Unknown,Blue,34,2,3,3,26021,8898,60
7,0,52,M,4,High School,Married,$80K - $120K,Blue,42,6,1,0,5738,1922,48
8,0,48,F,4,Graduate,Unknown,Less than $40K,Blue,38,4,3,1,1438.3,4601,78
9,0,36,F,4,Unknown,Single,Less than $40K,Blue,26,3,2,3,1438.3,4886,85
10,0,44,F,2,Graduate,Unknown,Less than $40K,Blue,34,3,2,2,2561,4869,70
11,0,57,M,2,Post-Graduate,Divorced,$120K +,Blue,51,4,1,1,26437,1244,36
12,0,39,F,3,Uneducated,Divorced,Unknown,Blue,29,5,1,2,26181,1303,35
13,0,57,F,3,Unknown,Single,Unknown,Blue,40,3,3,1,2111,3871,87
14,0,42,F,2,Doctorate,Married,Less than $40K,Blue,32,6,6,0,1592,4172,70
15,0,52,F,2,Uneducated,Married,Less than $40K,Blue,43,3,3,3,6897,2781,57
16,0,47,F,3,Graduate,Single,Less than $40K,Blue,36,5,1,3,2049,3514,79
17,0,34,F,4,High School,Married,$40K - $60K,Blue,28,6,1,0,2432,4760,69
18,0,42,F,2,High School,Married,Less than $40K,Blue,31,3,5,2,3964,4580,75
19,0,45,F,3,High School,Married,Less than $40K,Blue,37,4,1,3,2104,1732,35
20,0,51,F,4,Unknown,Married,Less than $40K,Blue,32,2,2,3,2350,4647,86
21,0,48,F,1,Unknown,Unknown,$40K - $60K,Blue,36,3,1,3,2447,4228,82
22,0,65,M,1,Unknown,Single,$40K - $60K,Blue,56,6,2,4,13364,4548,54
23,0,53,F,3,Unknown,Married,$40K - $60K,Blue,46,6,3,1,2192,4756,85
24,0,47,M,4,Unknown,Single,$40K - $60K,Blue,36,3,3,3,5762,3814,88
25,0,35,F,4,Unknown,Married,Less than $40K,Blue,30,6,3,4,1626,2847,61
26,0,46,F,2,Graduate,Married,Less than $40K,Blue,33,3,3,3,2267,4249,81
27,0,32,M,0,College,Unknown,Less than $40K,Blue,36,3,3,4,3788,3975,65
28,0,51,M,4,College,Married,$40K - $60K,Blue,36,2,3,1,4436,4460,85
29,0,53,F,2,Unknown,Married,Unknown,Blue,36,3,4,3,2592,4208,68
30,0,51,F,0,Doctorate,Single,$40K - $60K,Blue,36,3,2,1,2637,4525,83
31,1,31,F,1,Uneducated,Married,Less than $40K,Blue,20,6,2,2,1438.3,2614,49
32,0,52,M,4,Uneducated,Married,$80K - $120K,Blue,36,5,2,2,7474,5100,79
33,0,57,F,1,High School,Single,Less than $40K,Blue,45,5,2,4,5330,3525,79
34,0,47,M,4,Unknown,Divorced,$40K - $60K,Blue,35,3,2,1,4907,5088,71
35,0,50,F,3,Graduate,Married,$40K - $60K,Blue,39,4,3,3,1844,5056,81
36,0,34,M,3,Graduate,Married,$40K - $60K,Blue,36,3,2,1,4549,13804,123
37,1,59,F,2,High School,Married,Unknown,Blue,51,3,3,3,3875,2312,49
38,1,41,F,2,Graduate,Married,Less than $40K,Blue,31,3,3,3,2580,2981,40
39,0,47,M,3,High School,Single,$60K - $80K,Blue,30,5,3,3,18123,4259,80
40,0,46,F,3,Graduate,Married,Unknown,Blue,39,3,3,4,1438.3,4111,62
41,0,51,F,3,Unknown,Single,Less than $40K,Blue,39,5,1,3,2990,4065,76
42,0,50,M,3,High School,Married,$120K +,Blue,40,5,1,4,34516,1930,36
43,0,32,F,1,High School,Married,Less than $40K,Blue,36,1,1,2,4097,15925,100
44,1,45,M,3,College,Married,$80K - $120K,Blue,36,3,2,2,3031,2188,50
45,0,38,M,3,Graduate,Single,$80K - $120K,Blue,31,6,1,2,13637,3625,73
46,0,41,F,3,Doctorate,Single,Less than $40K,Blue,31,4,2,1,1738,4220,68
47,0,50,F,2,Unknown,Single,Unknown,Blue,42,1,3,3,21498,13015,104
48,1,40,F,3,Graduate,Single,Less than $40K,Blue,31,5,3,2,2391,2857,40
49,0,37,F,2,High School,Single,Less than $40K,Blue,28,5,2,1,7411,2761,77
50,0,53,F,2,Post-Graduate,Married,$40K - $60K,Blue,40,5,1,4,2127,1363,37
51,0,39,M,2,Uneducated,Single,$40K - $60K,Blue,25,4,1,3,9121,4112,80
52,0,53,M,0,High School,Married,$60K - $80K,Blue,46,4,4,2,1590,4229,73
53,0,47,F,5,Post-Graduate,Single,Less than $40K,Blue,37,2,3,3,9430,4115,75
54,0,52,F,1,Graduate,Single,Unknown,Blue,35,4,4,2,2411,4812,79
55,0,51,F,2,College,Single,Less than $40K,Blue,37,4,4,2,3264,4966,78
56,1,48,M,4,Unknown,Married,$80K - $120K,Blue,41,2,3,6,4806,1771,35
57,1,46,M,2,Unknown,Single,$80K - $120K,Blue,34,2,3,3,7077,2619,41
58,1,58,M,1,College,Married,$80K - $120K,Blue,47,3,3,3,12151,918,14
59,0,36,F,2,Graduate,Married,Less than $40K,Blue,26,3,3,2,1438.3,4957,88
60,0,55,F,4,Doctorate,Single,Less than $40K,Blue,44,3,1,1,1912,4666,98
61,1,54,F,4,Unknown,Married,Less than $40K,Blue,43,3,3,0,5139,1653,44
62,0,48,M,1,College,Single,$80K - $120K,Silver,36,6,3,3,34516,4042,78
63,1,56,F,2,Uneducated,Single,Less than $40K,Blue,43,1,2,4,1440,2141,40
64,0,34,F,2,Unknown,Divorced,Less than $40K,Blue,30,3,1,2,4408,4495,77
65,0,49,F,3,Uneducated,Single,Unknown,Blue,38,6,2,1,12860,1348,27
66,0,41,M,1,Uneducated,Married,$60K - $80K,Blue,25,3,2,0,7984,1734,39
67,0,54,M,3,High School,Single,$80K - $120K,Blue,47,3,1,2,16494,1302,36
68,0,43,M,4,Graduate,Single,$60K - $80K,Blue,25,3,2,4,13193,4071,64
69,0,44,F,4,Graduate,Married,$40K - $60K,Blue,29,3,1,2,1438.3,3971,60
70,0,58,F,1,High School,Married,$40K - $60K,Blue,46,5,3,1,1871,4553,90
71,0,50,F,0,High School,Married,Less than $40K,Blue,36,4,3,2,1513,4759,98
72,0,34,M,1,College,Married,$60K - $80K,Blue,23,3,2,2,5510,1995,53
73,0,42,F,2,Graduate,Single,Less than $40K,Blue,27,5,3,3,2265,3826,71
74,1,62,F,1,Unknown,Single,Less than $40K,Blue,55,3,3,3,1892,1581,34
75,0,53,M,3,Graduate,Single,$80K - $120K,Silver,39,1,2,3,34516,4826,70
76,0,37,F,3,College,Married,Less than $40K,Blue,27,2,1,3,2939,5076,84
77,0,48,M,3,Graduate,Married,$40K - $60K,Blue,43,5,1,1,2423,4035,74
78,0,45,F,2,Graduate,Married,Less than $40K,Blue,34,5,3,1,5371,3282,66
79,0,49,M,3,Uneducated,Married,$120K +,Blue,37,6,3,3,7753,3367,65
80,0,46,M,3,Graduate,Divorced,$80K - $120K,Blue,36,2,2,1,20434,13280,106
81,0,45,M,1,College,Unknown,$120K +,Blue,32,3,1,3,3304,3914,70
82,1,43,F,4,Uneducated,Married,Less than $40K,Blue,36,5,3,3,3492,2510,47
83,0,64,M,1,Graduate,Married,Less than $40K,Blue,52,6,4,3,1709,1673,32
84,0,60,F,1,Graduate,Single,Unknown,Blue,51,3,3,4,23566,4274,64
85,0,48,F,2,Unknown,Single,Less than $40K,Blue,36,4,3,2,9505,3616,68
86,0,40,F,3,Unknown,Married,Less than $40K,Blue,31,5,6,1,1811,4290,73
87,1,44,F,4,Graduate,Married,Less than $40K,Blue,36,6,3,3,1905,3120,46
88,0,36,F,0,Unknown,Married,Less than $40K,Silver,19,1,2,3,13313,15549,121
89,0,50,F,2,Uneducated,Single,Less than $40K,Blue,37,3,3,0,8520,1193,35
90,0,31,F,0,Uneducated,Single,Less than $40K,Blue,24,3,2,4,3827,2491,64
91,0,43,F,3,Unknown,Single,$40K - $60K,Blue,34,5,3,4,2656,4171,80
92,0,40,F,4,Unknown,Single,Less than $40K,Blue,36,6,3,4,7587,3157,59
93,0,49,F,3,Graduate,Single,Less than $40K,Blue,36,2,2,0,2802,1295,40
94,0,39,F,3,High School,Single,Less than $40K,Blue,33,2,1,2,1621,7400,86
95,0,53,M,1,Unknown,Single,$40K - $60K,Blue,45,1,2,1,3234,13803,100
96,0,50,M,3,Uneducated,Married,Less than $40K,Blue,36,2,3,3,5128,7588,98
97,0,48,F,4,Graduate,Single,Less than $40K,Blue,35,6,3,2,2005,4311,70
98,0,35,M,0,Unknown,Single,$60K - $80K,Blue,36,3,1,2,17236,3013,78
