Bus_no,type
N13,심야
100,간선
101,간선
102,간선
104,간선
105,간선
106,간선
110A,간선
130,간선
140,간선
141,간선
142,간선
143,간선
144,간선
145,간선
146,간선
147,간선
N16,심야
150,간선
151,간선
160,간선
152,간선
162,간선
171,간선
172,간선
260,간선
262,간선
261,간선
271,간선
272,간선
301,간선
400,간선
340,간선
360,간선
401,간선
402,간선
406,간선
420,간선
461,간선
472,간선
501,간선
571,간선
600,간선
601,간선
602,간선
603,간선
604,간선
605,간선
606,간선
640,간선
641,간선
650,간선
651,간선
701,간선
750A,간선
720,간선
N15,심야
751,간선
752,간선
753,간선
110B,간선
109,간선
3,순환
2230,지선
1014,지선
1139,지선
1020,지선
은평06,마을
643,간선
1111,지선
5515,지선
종로07,마을
광진05,마을
영등포06,마을
동대문05,마을
성북22,마을
1017,지선
1113,지선
1115,지선
1119,지선
1120,지선
1132,지선
1124,지선
1126,지선
1128,지선
1129,지선
1130,지선
1133,지선
1154,지선
1135,지선
1136,지선
1137,지선
1213,지선
1138,지선
1140,지선
1144,지선
1218,지선
1221,지선
1222,지선
1224,지선
1711,지선
2012,지선
2013,지선
2014,지선
2015,지선
2112,지선
2222,지선
2211,지선
2413,지선
2233,지선
2311,지선
8541,맞춤
3212,지선
3217,지선
3313,지선
3314,지선
3315,지선
3411,지선
3412,지선
3413,지선
5615,지선
3414,지선
3416,지선
3417,지선
3422,지선
4212,지선
5012,지선
5511,지선
5513,지선
5516,지선
5517,지선
5519,지선
5524,지선
5525,지선
5528,지선
5616,지선
5617,지선
5618,지선
6211,공항
5619,지선
5620,지선
5621,지선
5712,지선
6411,공항
6511,공항
6512,공항
6514,공항
6611,공항
6617,공항
6620,공항
6623,공항
6632,공항
6627,공항
6628,공항
6629,공항
6712,공항
6630,공항
6631,공항
8551,맞춤
6714,공항
6715,공항
7011,지선
7018,지선
7019,지선
7022,지선
7211,지선
7611,지선
7612,지선
7613,지선
7711,지선
7713,지선
7719,지선
7720,지선
7722,지선
7723,지선
4319,지선
7730,지선
710,간선
5,순환
1122,지선
7013A,지선
7013B,지선
421,간선
405,간선
502,간선
670,간선
672,간선
3011,지선
653,간선
3318,지선
333,간선
3319,지선
7212,지선
4412,지선
2016,지선
662,간선
350,간선
N30,심야
N61,심야
N62,심야
6640A,공항
463,간선
6640B,공항
2115,지선
2312,지선
362,간선
8777,맞춤
654,간선
342,간선
674,간선
173,간선
6654,공항
8761,맞춤
8771,맞춤
8331,맞춤
7734,지선
774,간선
3426,지선
773,간선
N65,심야
4435,지선
761,간선
6615,공항
2,순환
6516,공항
3321,지선
3012,지선
121,간선
4211,지선
242,간선
3322,지선
은평08-1,마을
은평08-2,마을
452,간선
8221,맞춤
8441,맞춤
8552,맞춤
741,간선
708,간선
강서07,마을
6616,공항
강남03,마을
강남07,마을
강남05,마을
강남06,마을
강남01,마을
강남02,마을
강동01,마을
강동05,마을
강북01,마을
N26,심야
강북11,마을
강북10,마을
강북02,마을
강북03,마을
강북05,마을
강북06,마을
성동07,마을
강북12,마을
강북09,마을
강서01,마을
강서02,마을
강서03,마을
용산04,마을
강서04,마을
강서06,마을
관악01,마을
광진02,마을
관악10,마을
관악02,마을
관악03,마을
관악04,마을
관악05,마을
관악06,마을
관악07,마을
관악08,마을
광진03,마을
금천02,마을
광진04,마을
구로10,마을
구로05,마을
구로07,마을
구로08,마을
구로09,마을
구로12,마을
구로01,마을
구로02,마을
구로03,마을
구로04,마을
구로13,마을
금천03,마을
금천04,마을
노원01,마을
노원11,마을
도봉08,마을
노원02,마을
노원03,마을
노원04,마을
노원05,마을
노원08,마을
노원09,마을
도봉09,마을
도봉01,마을
도봉02,마을
영등포07,마을
도봉03,마을
도봉04,마을
도봉05,마을
도봉06,마을
동작11,마을
도봉07,마을
마포07,마을
동대문01,마을
동대문02,마을
동작02,마을
동작15,마을
동작07,마을
동작16,마을
동작17,마을
동작18,마을
동작09,마을
